|                    |F1|F2|F3|F4|F5|F6|F7|F8|F9|ANSWER|
| Individual 425       |45.2188|0.205608|20.7792|2.07443|7.81131|188.687|214.093|103.896|1.86882|-37.4075|117.005|
| Individual 426       |73.5625|0.0765743|41.7002|1.98364|12.4528|306.703|1.73151|208.501|1.90706|-61.1097|172.067|
| Individual 427       |63.0646|0.0311089|41.4073|1.90247|3.73777|255.996|-41.7959|207.036|1.87136|-59.3268|122.418|
| Individual 428       |55.9163|0.0100696|49.5402|2.00425|5.17454|228.84|46.3368|247.701|1.99418|-50.7418|70.2484|
| Individual 429       |59.7602|0.314262|24.219|1.95566|13.2304|252.271|34.2319|121.095|1.6414|-46.5298|171.407|
| Individual 430       |38.8519|0.192679|37.1673|1.94329|-2.28914|153.119|0.0235168|185.836|1.75061|-41.1411|32.8638|
| Individual 431       |34.6569|0.00559761|31.1094|2.06003|6.57678|145.204|36.4092|155.547|2.05443|-28.0801|41.604|
| Individual 432       |63.1116|0.0592978|31.9916|1.92249|6.25368|258.7|1.87285|159.958|1.8632|-56.8579|153.409|
| Individual 433       |45.1546|0.185085|20.9151|1.81504|6.36152|186.98|9.6032|104.576|1.62995|-38.7931|116.085|
| Individual 434       |62.7182|0.197006|36.3221|2.00843|4.71668|255.59|146.531|181.611|1.81142|-58.0016|137.566|
| Individual 435       |53.7546|0.173858|22.6039|1.96663|5.63498|220.653|5.64205|113.02|1.79277|-48.1196|143.878|
| Individual 436       |54.6806|0.194591|21.7105|2.02304|4.31972|223.042|182.046|108.553|1.82845|-50.3609|148.769|
| Individual 437       |56.8403|0.0813676|23.9955|1.98958|5.98773|233.349|1.84933|119.978|1.90821|-50.8526|151.821|
| Individual 438       |44.932|0.371978|42.6282|2.03486|5.22939|184.957|-24.6287|213.141|1.66288|-39.7026|48.7583|
| Individual 439       |53.457|0.113737|26.9349|1.95918|4.07396|217.902|28.0564|134.675|1.84544|-49.383|127.87|
| Individual 440       |56.9498|0.0429703|20.9889|2.03399|3.90901|231.708|58.9347|104.945|1.99102|-53.0408|158.786|
| Individual 441       |40.5033|0.0226215|35.6187|1.9843|5.3736|167.387|0.362482|178.093|1.96168|-35.1297|50.7226|
| Individual 442       |46.1568|0.0230882|39.6526|1.91242|4.3634|188.99|22.4106|198.263|1.88933|-41.7934|60.5859|
| Individual 443       |57.4585|0.14674|31.8242|2.00335|5.35827|235.192|2.03091|159.121|1.85661|-52.1003|130.437|
| Individual 444       |63.198|0.342145|34.0166|1.78646|5.0049|257.797|6.00098|170.083|1.44431|-58.1931|148.526|
| Individual 445       |49.1617|0.0842247|40.9593|1.83769|9.70994|206.357|241.74|204.796|1.75347|-39.4518|74.7116|
| Individual 446       |55.6639|0.00190667|45.1377|1.67383|5.55323|228.209|6.4552|225.689|1.67192|-50.1106|84.4359|
| Individual 447       |48.14|0.0156612|40.4633|2.02022|6.51134|199.071|112.053|202.317|2.00456|-41.6286|67.6585|
| Individual 448       |58.0307|0.0229016|49.005|2.05488|15.5488|247.671|1.66842|245.025|2.03198|-42.4819|90.4967|
| Individual 449       |68.3374|0.216387|32.7696|1.76826|-16.5354|256.814|-52.9337|163.848|1.55187|-84.8728|150.746|
| Individual 450       |43.164|0.0174265|49.5164|1.89313|6.76082|179.417|166.166|247.582|1.8757|-36.4032|21.4892|
| Individual 451       |57.648|0.0735217|35.4496|2.02929|5.61152|236.203|54.9806|177.248|1.95577|-52.0364|120.076|
| Individual 452       |61.6131|0.212812|41.4361|2.02114|-7.54423|238.908|0.146583|207.18|1.80833|-69.1573|105.558|
| Individual 453       |54.3239|0.323384|22.3514|1.96913|4.60047|221.896|42.4775|111.757|1.64575|-49.7234|146.613|
| Individual 454       |51.1226|0.0449407|48.1734|2.04466|4.5003|208.991|2.01084|240.867|1.99972|-46.6223|54.4719|
| Individual 455       |68.6616|0.0880458|40.7565|1.98561|3.54623|278.193|5.11475|203.783|1.89757|-65.1153|146.435|
| Individual 456       |46.5238|0.0200356|24.7743|1.94983|6.03082|192.126|225.037|123.872|1.9298|-40.493|108.154|
| Individual 457       |49.8291|0.0682512|48.3353|1.98802|4.35173|203.668|6.1791|241.676|1.91977|-45.4774|49.0636|
| Individual 458       |40.3945|0.0295365|21.7129|2.0422|4.85066|166.429|212.388|108.565|2.01266|-35.5439|91.2266|
| Individual 459       |51.0299|0.0674966|42.144|1.98452|1.93831|206.058|1.86425|210.72|1.91702|-49.0916|70.0407|
| Individual 460       |45.4424|0.20501|43.2841|2.00186|-7.72474|174.045|-49.8658|216.421|1.79685|-53.1671|35.208|
| Individual 461       |37.125|0.133312|31.5631|1.98179|4.54979|153.05|88.283|157.816|1.84848|-32.5752|49.118|
| Individual 462       |38.0869|0.0967164|41.7739|1.88373|3.75266|156.1|56.4817|208.869|1.78701|-34.3342|21.8435|
| Individual 463       |52.881|0.149671|27.9086|1.92224|2.15695|213.681|0.0464365|139.543|1.77256|-50.7241|121.093|
| Individual 464       |52.3812|0.12092|46.3514|2.11068|4.78765|214.313|27.0107|231.757|1.98976|-47.5936|65.3096|
| Individual 465       |44.3441|0.00894749|21.373|1.95801|4.86109|182.238|1.86801|106.865|1.94906|-39.483|108.373|
| Individual 466       |40.946|0.0247857|46.6956|1.99689|8.26582|172.05|5.54876|233.478|1.9721|-32.6802|22.1026|
| Individual 467       |43.2676|0.00784483|42.1178|1.98763|5.13389|178.204|231.476|210.589|1.97979|-38.1337|41.9517|
| Individual 468       |55.7402|0.270945|47.7363|2.07791|3.75516|226.716|5.65046|238.682|1.80697|-51.985|74.472|
| Individual 469       |29.5125|0.0062575|21.1504|1.93858|4.92045|122.97|135.054|105.752|1.93232|-24.592|49.8575|
| Individual 470       |64.8398|0.365572|26.8107|1.87984|5.81537|265.175|1.82157|134.054|1.51427|-59.0245|177.171|
| Individual 471       |63.3944|0.0151209|43.2411|1.89577|5.95338|259.531|-50.933|216.205|1.88065|-57.441|120.405|
| Individual 472       |36.9242|0.0545035|35.6204|2.00803|4.26217|151.959|141.336|178.102|1.95353|-32.662|35.33|
| Individual 473       |56.3521|0.199422|37.6878|1.94458|6.51618|231.925|38.1794|188.439|1.74515|-49.836|110.136|
| Individual 474       |37.6586|0.321031|34.6844|1.84536|3.73583|154.37|0.108469|173.422|1.52433|-33.9228|42.6954|
| Individual 475       |49.6976|0.0358838|22.3292|1.9802|4.72386|203.514|48.4747|111.646|1.94432|-44.9738|126.805|
| Individual 476       |58.6774|0.104695|32.8064|1.89224|4.63697|239.347|1.99759|164.032|1.78755|-54.0404|131.99|
| Individual 477       |36.0126|0.148038|31.4972|1.88873|3.5305|147.581|5.05643|157.486|1.74069|-32.4821|44.3856|
| Individual 478       |59.9687|0.102634|38.9153|1.92995|10.9497|250.824|157.774|194.576|1.82731|-49.019|124.942|
| Individual 479       |59.3625|0.048958|32.2152|2.05665|4.97768|242.428|6.10125|161.076|2.00769|-54.3849|135.744|
| Individual 480       |42.7541|0.256949|33.8071|2.09064|6.71514|177.732|242.374|169.035|1.83369|-36.039|67.1419|
| Individual 481       |61.0825|0.0374614|45.0448|1.95574|8.02127|252.351|1.88912|225.224|1.91828|-53.0613|107.626|
| Individual 482       |48.1622|0.210722|27.0166|1.94089|5.66844|198.317|-33.123|135.083|1.73017|-42.4937|108.616|
| Individual 483       |16.9817|0.0260846|40.7982|2.03636|-7.96325|59.9635|2.90438|203.991|2.01028|-24.945|-72.4824|
| Individual 484       |55.0342|0.0996459|44.6978|2.02256|5.66435|225.801|48.9903|223.489|1.92292|-49.3698|82.093|
| Individual 485       |42.5382|0.0255137|34.8395|1.9798|4.85923|175.012|0.0732252|174.197|1.95429|-37.6789|60.722|
| Individual 486       |41.7708|0.0220321|46.498|2.05322|4.05022|171.133|21.9607|232.49|2.03119|-37.7206|21.4835|
| Individual 487       |50.1842|0.00903863|22.1325|1.92302|5.52014|206.257|2.10926|110.663|1.91398|-44.6641|130.289|
| Individual 488       |55.8407|0.000727719|29.7156|2.04988|5.83741|229.2|6.67952|148.578|2.04916|-50.0033|129.808|
| Individual 489       |44.884|0.145355|44.8916|1.99755|6.29487|185.831|202.641|224.458|1.85219|-38.5891|41.8952|
| Individual 490       |51.5451|0.0912011|34.045|2.03371|2.60838|208.789|6.40101|170.225|1.94251|-48.9367|96.9413|
| Individual 491       |47.7755|0.0959947|21.2397|1.99357|4.09617|195.198|109.803|106.199|1.89757|-43.6793|121.991|
| Individual 492       |45.1953|0.0345404|21.2664|1.94981|29.5395|210.321|2.03604|106.332|1.91527|-15.6558|136.945|
| Individual 493       |46.9049|0.186317|37.7957|1.91044|5.81969|193.439|-42.3108|188.978|1.72413|-41.0852|71.4315|
| Individual 494       |53.7794|0.191012|34.7576|2.07621|7.12882|222.246|126.578|173.788|1.8852|-46.6506|108.548|
| Individual 495       |62.3789|0.0873079|49.1951|1.79979|6.40404|255.919|50.502|245.975|1.71249|-55.9748|99.7719|
| Individual 496       |43.0476|0.241679|24.8054|1.94482|3.96449|176.155|0.135975|124.027|1.70314|-39.0831|93.2231|
| Individual 497       |42.7424|0.0322537|39.4858|1.95349|5.37419|176.344|25.1414|197.429|1.92124|-37.3682|48.2802|
| Individual 498       |43.5194|0.0539671|46.5559|2.08705|8.71925|182.797|2.08435|232.78|2.03308|-34.8001|32.9634|
| Individual 499       |53.4883|0.00294824|25.4005|1.9515|4.79627|218.75|6.03164|127.003|1.94855|-48.692|132.805|
| Individual 500       |48.0006|0.0201938|42.8201|2.083|5.80105|197.804|208.039|214.101|2.06281|-42.1996|59.0292|
| Individual 501       |41.0524|0.103842|21.7484|2.05496|4.13296|168.343|6.38903|108.742|1.95112|-36.9195|93.3418|
| Individual 502       |62.8247|0.296475|40.3874|1.80642|3.67162|254.97|125.707|201.937|1.50994|-59.153|126.258|
| Individual 503       |60.2467|0.499576|25.0712|2.05185|7.52139|248.508|1.94838|125.356|1.55227|-52.7253|165.533|
| Individual 504       |41.1902|0.0105273|39.4311|2.01274|3.99663|168.757|-44.4703|197.156|2.00222|-37.1935|40.4528|
| Individual 505       |53.695|0.0524129|47.1568|2.06624|2.38241|217.162|122.873|235.784|2.01382|-51.3126|65.6231|
| Individual 506       |57.2047|0.061882|24.166|2.07402|5.24652|234.065|47.2928|120.83|2.01214|-51.9582|151.507|
| Individual 507       |48.9593|0.111546|47.3907|2.04309|3.57324|199.41|0.0396348|236.953|1.93155|-45.3861|47.5807|
| Individual 508       |54.2329|0.00600891|47.2136|2.04427|3.82148|220.753|37.3033|236.068|2.03826|-50.4114|68.921|
| Individual 509       |42.0083|0.0773615|22.387|1.95161|-6.7786|161.255|2.02824|111.935|1.87425|-48.7869|84.7223|
| Individual 510       |44.896|0.17763|23.7326|1.89228|4.06352|183.647|3.62172|118.663|1.71465|-40.8325|103.876|
| Individual 511       |58.7192|0.0421852|37.816|1.84616|3.18408|238.061|192.793|189.08|1.80397|-55.5352|115.593|
| Individual 512       |32.1987|0.148387|21.7087|1.9854|5.2881|134.083|6.12436|108.543|1.83701|-26.9106|59.7719|
| Individual 513       |32.926|0.062229|49.1505|1.81393|4.5574|136.262|186.516|245.753|1.7517|-28.3686|-19.9485|
| Individual 514       |64.6899|0.0383552|35.2909|2.00771|7.97644|266.736|1.98861|176.455|1.96935|-56.7135|151.017|
| Individual 515       |37.738|0.168478|47.344|1.92933|1.98958|152.942|-43.6711|236.72|1.76085|-35.7485|2.10558|
| Individual 516       |40.1199|0.0277741|38.7945|1.90933|5.28485|165.764|70.9402|193.973|1.88155|-34.835|39.973|
| Individual 517       |44.4267|0.0931677|49.0364|1.96013|0.353353|178.06|41.8682|245.182|1.86696|-44.0733|21.6161|
| Individual 518       |42.0326|0.150311|35.8814|1.9707|1.6673|169.798|0.273709|179.407|1.82038|-40.3652|53.0515|
| Individual 519       |58.9193|0.124763|22.0933|1.88737|4.96639|240.644|30.8625|110.466|1.7626|-53.9529|165.551|
| Individual 520       |51.9851|0.00166322|48.5477|2.0671|4.97188|212.912|1.96047|242.738|2.06543|-47.0132|56.942|
| Individual 521       |34.0593|0.105381|21.8609|1.8978|5.71688|141.954|5.94167|109.305|1.79242|-28.3424|67.4091|
| Individual 522       |60.7463|0.122962|45.7942|1.96733|14.7216|257.707|173.414|228.971|1.84437|-46.0247|111.103|
| Individual 523       |49.2884|0.150908|27.1589|1.91674|4.67523|201.829|6.15512|135.794|1.76583|-44.6132|111.523|
| Individual 524       |52.0171|0.365167|27.0692|2.07185|5.54026|213.609|154.313|135.346|1.70669|-46.4768|123.868|
| Individual 525       |52.7873|0.000102223|27.3442|1.94242|6.59068|217.74|1.68676|136.721|1.94232|-46.1966|125.996|
| Individual 526       |51.0047|0.0168324|25.6743|1.81718|5.60531|209.624|-35.9265|128.372|1.80035|-45.3994|123.599|
| Individual 527       |52.9043|0.0654793|37.8196|1.98837|6.54029|218.158|72.3931|189.098|1.92289|-46.364|95.0844|
| Individual 528       |45.8835|0.20061|32.778|2.04302|3.99969|187.534|33.2265|163.89|1.84241|-41.8838|79.9876|
| Individual 529       |51.5692|0.206492|25.7853|1.98542|0.683933|206.961|0.0243839|128.926|1.77893|-50.8852|120.71|
| Individual 530       |41.4087|0.00486655|40.7093|2.0552|-27.9235|137.711|35.8232|203.547|2.05033|-69.3322|5.33165|
| Individual 531       |57.3526|0.136357|22.2143|2.02973|3.78672|233.197|2.05592|111.071|1.89338|-53.5659|157.087|
| Individual 532       |40.6625|0.359149|46.3726|2.13638|6.29867|168.949|3.72381|231.863|1.77723|-34.3639|20.9448|
| Individual 533       |60.5802|0.0666518|33.4866|2.02744|5.21568|247.536|136.63|167.433|1.96079|-55.3645|137.273|
| Individual 534       |51.6037|0.0544978|48.9605|1.97986|3.75592|210.171|6.19214|244.802|1.92536|-47.8478|53.6625|
| Individual 535       |46.6667|0.102164|23.735|2.01316|5.04238|191.709|179.116|118.675|1.911|-41.6243|110.949|
| Individual 536       |35.3127|0.0861914|36.7125|1.96068|7.04097|148.292|2.03153|183.563|1.87449|-28.2718|28.7819|
| Individual 537       |60.9195|0.178029|45.792|2.00427|38.0043|281.682|-29.5026|228.96|1.82624|-22.9152|135.175|
| Individual 538       |61.8625|0.0327666|25.0792|1.97048|5.22001|252.67|19.0024|125.396|1.93772|-56.6425|167.744|
| Individual 539       |61.5027|0.0127323|40.8678|2.01222|6.44202|252.453|43.7431|204.339|1.99949|-55.0607|119.852|
| Individual 540       |56.0849|0.0980178|35.7237|1.79168|6.40163|230.741|0.0482597|178.618|1.69366|-49.6833|115.102|
| Individual 541       |48.4566|0.105321|40.4297|2.04096|4.5749|198.401|33.7929|202.149|1.93563|-43.8817|67.4338|
| Individual 542       |46.6219|0.116716|29.412|1.93076|5.02432|191.512|2.03726|147.06|1.81404|-41.5976|94.2057|
| Individual 543       |37.2689|0.203511|40.2873|2.09496|4.76946|153.845|5.01014|201.436|1.89145|-32.4994|23.5259|
| Individual 544       |37.949|0.131269|38.6354|2.02238|4.8519|156.648|179.983|193.177|1.89111|-33.0971|31.2862|
| Individual 545       |40.3406|0.0338947|45.2868|2.04231|1.60177|162.964|6.16005|226.434|2.00842|-38.7388|17.0615|
| Individual 546       |73.8126|0.0118749|40.3986|2.13831|4.99988|300.25|168.964|201.993|2.12644|-68.8127|168.422|
| Individual 547       |39.896|0.0180075|20.4415|2.08857|4.34124|163.925|1.989|102.207|2.07056|-35.5547|92.2479|
| Individual 548       |54.2751|0.354332|46.5311|1.99773|5.9854|223.086|-38.733|232.655|1.6434|-48.2897|75.2755|
| Individual 549       |59.9081|0.0453679|25.212|1.94342|0.880037|240.512|68.659|126.06|1.89805|-59.0281|155.386|
| Individual 550       |42.8307|0.309916|36.9717|1.85871|32.3789|203.702|39.5911|184.858|1.54879|-10.4518|85.0427|
| Individual 551       |42.6379|0.177704|40.8732|2.0305|5.11062|175.662|0.0143916|204.366|1.8528|-37.5273|43.7786|
| Individual 552       |24.9492|0.106457|44.2587|1.94721|5.19846|104.995|48.3813|221.294|1.84076|-19.7508|-36.9846|
| Individual 553       |53.2786|0.06648|27.4003|1.99282|6.77309|219.888|1.99432|137.001|1.92634|-46.5055|128.055|
| Individual 554       |50.414|0.0538194|33.0968|2.04269|4.09947|205.755|6.92496|165.484|1.98887|-46.3145|96.5204|
| Individual 555       |32.9228|0.0503326|33.7252|2.08484|8.14213|139.833|165.289|168.626|2.03451|-24.7807|28.485|
| Individual 556       |57.7362|0.0613726|20.552|2.0394|1.40304|232.348|5.99736|102.76|1.97803|-56.3331|160.802|
| Individual 557       |79.8849|0.342582|20.2914|1.86656|-15.9705|303.569|241.907|101.457|1.52397|-95.8554|235.075|
| Individual 558       |54.9629|0.0451541|42.8855|1.77221|-7.71489|212.137|1.97993|214.427|1.72706|-62.6778|74.8449|
| Individual 559       |40.4179|0.0882325|26.0014|1.83464|5.62386|167.295|-32.6661|130.007|1.74641|-34.794|80.5594|
| Individual 560       |47.3347|0.0287706|30.5553|2.06118|4.6366|193.975|10.2455|152.776|2.03241|-42.6981|92.1474|
| Individual 561       |51.0676|0.0037354|37.1504|1.93539|6.04202|210.312|55.4737|185.752|1.93165|-45.0256|89.2027|
| Individual 562       |30.2076|0.0190531|23.9005|1.97818|5.61142|126.442|0.0712653|119.503|1.95913|-24.5961|44.9445|
| Individual 563       |41.0959|0.00610632|33.4696|1.94453|12.767|177.15|45.0302|167.348|1.93842|-28.3288|67.0496|
| Individual 564       |47.3212|0.117807|33.4721|2.06258|4.01844|193.303|1.92795|167.36|1.94478|-43.3028|83.1632|
| Individual 565       |50.3077|0.0540822|46.6492|1.9651|-19.9177|181.313|2.72381|233.246|1.91102|-70.2254|31.8104|
| Individual 566       |39.6642|0.0233827|49.8356|2.025|18.9034|177.56|224.619|249.178|2.00162|-20.7608|18.0451|
| Individual 567       |51.4135|0.0968881|29.9044|1.92756|-32.9856|172.669|5.85512|149.522|1.83067|-84.3991|73.8019|
| Individual 568       |37.4306|0.0176682|41.2783|1.90271|4.49085|154.213|225.151|206.392|1.88504|-32.9398|20.9531|
| Individual 569       |35.4602|0.0128424|36.2447|1.94996|3.6586|145.499|1.85669|181.223|1.93712|-31.8016|27.0796|
| Individual 570       |45.4977|0.0410973|39.9293|1.95194|19.722|201.713|-52.7499|199.647|1.91084|-25.7757|72.3706|
| Individual 571       |58.5765|0.271606|22.2321|2.01783|5.07439|239.38|80.2448|111.16|1.74623|-53.5021|163.953|
| Individual 572       |33.1603|0.0989933|30.1267|1.99728|5.32825|137.969|34.8141|150.634|1.89829|-27.832|38.0978|
| Individual 573       |51.3848|0.163008|47.6345|1.89921|4.37444|209.914|0.00932043|238.172|1.7362|-47.0104|58.3292|
| Individual 574       |37.6985|0.149188|46.6131|2.09445|5.22838|156.023|41.1938|233.065|1.94526|-32.4702|6.457|
| Individual 575       |42.6933|0.292048|48.9394|1.97031|3.70062|174.474|1.90685|244.697|1.67826|-38.9927|19.2642|
| Individual 576       |57.9179|0.0112149|45.8157|2.09334|5.04976|236.721|7.48832|229.079|2.08212|-52.8681|88.8634|
| Individual 577       |50.1647|0.286268|32.9275|1.99586|-22.911|177.748|146.745|164.638|1.70959|-73.0757|70.4173|
| Individual 578       |56.0544|0.195796|30.1168|2.09417|5.34493|229.562|5.72988|150.584|1.89837|-50.7094|129.72|
| Individual 579       |44.0736|0.0995399|29.6983|1.91829|3.98355|180.278|205.969|148.491|1.81875|-40.09|82.0894|
| Individual 580       |49.5751|0.245593|47.0121|1.9923|3.66626|201.967|1.89753|235.061|1.74671|-45.9088|52.1967|
| Individual 581       |61.799|0.0727881|42.1095|1.96738|4.86594|252.062|-27.3257|210.548|1.89459|-56.9331|116.26|
| Individual 582       |56.1984|0.0122809|38.1001|1.7585|2.07513|226.869|13.6754|190.501|1.74622|-54.1233|103.837|
| Individual 583       |45.7988|0.112215|33.4974|2.05818|8.17387|191.369|51.0489|167.487|1.94597|-37.625|81.1472|
| Individual 584       |59.7279|0.0187378|43.1613|2.02195|4.38519|243.297|0.0264757|215.807|2.00321|-55.3427|103.797|
| Individual 585       |50.0971|0.0661629|29.7906|2.08718|5.43512|205.824|34.085|148.953|2.02102|-44.662|106.347|
| Individual 586       |40.7222|0.0919946|43.5724|1.82825|6.26771|169.157|2.10932|217.862|1.73625|-34.4545|29.7581|
| Individual 587       |49.9105|0.0345097|24.2307|1.95509|-27.2108|172.431|5.10799|121.153|1.92058|-77.1213|90.136|
| Individual 588       |52.5309|0.399612|36.897|1.95899|5.85108|215.975|209.303|184.485|1.55937|-46.6798|97.4868|
| Individual 589       |39.0235|0.0828741|25.5174|2.03648|5.20013|161.294|6.35443|127.587|1.95361|-33.8234|74.974|
| Individual 590       |60.9631|0.0249719|49.4109|1.98072|6.36254|250.215|170.425|247.054|1.95575|-54.6006|92.2036|
| Individual 591       |47.2722|0.0698209|47.563|1.85724|7.54702|196.636|2.08284|237.815|1.78742|-39.7252|45.01|
| Individual 592       |53.8717|0.020921|38.4793|1.9701|2.939|218.426|-45.9409|192.397|1.94918|-50.9327|93.2422|
| Individual 593       |52.2572|0.230711|46.2784|1.99202|5.36796|214.397|96.6343|231.392|1.76131|-46.8892|66.7549|
| Individual 594       |57.2534|0.0477448|47.2475|1.96413|5.15347|234.167|50.8286|236.238|1.91638|-52.0999|82.8426|
| Individual 595       |51.2466|0.0354987|24.6971|2.033|3.54859|208.535|0.0399849|123.486|1.9975|-47.698|124.456|
| Individual 596       |49.1984|0.0451173|46.2463|2.03764|-18.8461|177.948|36.0958|231.231|1.99252|-68.0445|29.2461|
| Individual 597       |46.9135|0.0553852|26.1301|1.96524|19.8339|207.488|1.94788|130.651|1.90985|-27.0795|119.548|
| Individual 598       |44.3019|0.0133167|22.3929|1.94949|0.659778|177.867|4.89567|111.964|1.93617|-43.6421|101.008|
| Individual 599       |39.0857|0.0368392|45.9019|2.11228|5.4539|161.797|208.21|229.509|2.07544|-33.6318|13.7139|
| Individual 600       |49.7934|0.0785377|28.5137|1.90755|2.70969|201.883|5.88364|142.569|1.82902|-47.0837|107.197|
| Individual 601       |55.5366|0.101377|25.7344|1.96917|2.96572|225.112|180.479|128.672|1.86779|-52.5708|138.57|
| Individual 602       |37.0301|0.252898|29.5313|2.02471|5.83155|153.952|1.9079|147.657|1.77181|-31.1986|56.499|
| Individual 603       |65.3773|0.193262|29.3788|2.0816|7.22452|268.734|-45.933|146.894|1.88834|-58.1528|171.156|
| Individual 604       |49.3311|0.0538919|29.4813|1.77486|3.94664|201.271|90.3831|147.407|1.72097|-45.3845|104.222|
| Individual 605       |61.0574|0.103967|27.2859|1.863|6.41651|250.646|45.7626|136.43|1.75903|-54.6409|159.993|
| Individual 606       |48.4253|0.350424|47.5285|2.07071|4.65629|198.358|0.202128|237.643|1.72029|-43.769|47.1707|
| Individual 607       |63.2704|0.159742|33.5516|2.04389|10.1418|263.224|24.4517|167.758|1.88415|-53.1286|153.148|
| Individual 608       |50.605|0.292083|31.345|2.05414|11.924|214.344|2.00161|156.725|1.76206|-38.681|111.499|
| Individual 609       |54.6583|0.166066|34.3658|2.00467|4.35943|222.992|4.78278|171.829|1.8386|-50.2988|110.702|
| Individual 610       |35.8708|0.0900512|47.0026|1.8813|-1.30804|142.175|187.833|235.013|1.79125|-37.1789|-7.78885|
| Individual 611       |37.0927|0.0146247|43.5927|1.73183|7.04506|155.416|6.20696|217.963|1.71721|-30.0476|16.0517|
| Individual 612       |47.0122|0.110134|32.3647|1.8842|6.07914|194.128|122.259|161.824|1.77407|-40.933|88.1634|
| Individual 613       |51.0098|0.03755|21.2834|1.91768|4.09994|208.139|1.79948|106.417|1.88013|-46.9099|134.888|
| Individual 614       |43.589|0.0791791|35.4677|2.04094|5.21172|179.568|-40.9798|177.338|1.96176|-38.3773|63.3559|
| Individual 615       |43.5082|0.160894|39.6473|2.12097|5.51576|179.549|105.481|198.237|1.96008|-37.9925|50.8063|
| Individual 616       |44.531|0.102519|39.9569|1.89035|3.62656|181.751|52.9662|199.785|1.78783|-40.9044|52.9406|
| Individual 617       |57.553|0.157431|36.5495|2.08839|5.03516|235.247|0.290498|182.747|1.93096|-52.5179|115.944|
| Individual 618       |36.4529|0.186274|39.2197|1.87711|4.38976|150.201|24.6624|196.098|1.69083|-32.0631|24.0881|
| Individual 619       |55.9465|0.104846|27.1119|1.94548|3.57889|227.365|1.93197|135.559|1.84063|-52.3676|136.826|
| Individual 620       |61.2593|0.00454391|35.8106|1.83687|7.72419|252.761|5.31294|179.053|1.83233|-53.5351|136.168|
| Individual 621       |49.0766|0.0432546|37.9776|2.04419|4.11242|200.419|217.178|189.888|2.00093|-44.9642|76.4815|
| Individual 622       |50.4009|0.064804|29.8233|1.89974|5.00001|206.604|6.08642|149.116|1.83493|-45.4009|107.959|
| Individual 623       |64.1953|0.114344|45.9217|1.97873|4.753|261.534|123.312|229.608|1.86438|-59.4423|114.447|
| Individual 624       |32.7478|0.170376|34.3016|1.97851|6.79856|137.79|1.64148|171.508|1.80814|-25.9492|25.8441|
| Individual 625       |52.2661|0.0242897|45.4741|1.90061|4.28615|213.351|-47.6532|227.37|1.87632|-47.98|67.5469|
| Individual 626       |50.1234|0.225397|37.6255|2.12438|2.76801|203.262|134.983|188.128|1.89899|-47.3554|80.8901|
| Individual 627       |41.6095|0.126958|31.4589|1.92689|2260.08|2426.52|62.8498|157.295|1.79993|2218.47|2323.14|
| Individual 628       |62.5881|0.0785355|44.8958|1.77973|3.71713|254.069|0.00226598|224.479|1.70119|-58.871|110.876|
| Individual 629       |47.5555|0.0536873|33.5944|1.63583|2.32458|192.547|45.7063|167.972|1.58214|-45.231|83.8529|
| Individual 630       |42.0708|0.0758467|33.4805|2.05306|2.57967|170.863|2.00926|167.403|1.97721|-39.4911|60.5352|
| Individual 631       |41.2278|0.277971|29.6237|1.96222|5.42821|170.339|3.60952|148.118|1.68425|-35.7996|73.0471|
| Individual 632       |54.9191|0.0484006|27.5919|1.98237|4.74706|224.424|255.009|137.959|1.93397|-50.1721|131.978|
| Individual 633       |53.7013|0.0201234|22.6887|2.02838|4.80041|219.606|6.03006|113.443|2.00826|-48.9009|141.498|
| Individual 634       |26.6876|0.205919|20.6128|1.95141|5.60109|112.352|228.531|103.064|1.74549|-21.0865|41.7858|
| Individual 635       |49.2637|0.271711|26.2389|2.02061|6.39012|203.445|2.007|131.195|1.7489|-42.8736|115.984|
| Individual 636       |47.7485|0.0213431|48.6364|2.01295|-1.92646|189.068|-59.2403|243.182|1.9916|-49.675|33.2005|
| Individual 637       |65.4413|0.0245219|45.817|1.98529|5.56349|267.329|107.855|229.085|1.96077|-59.8778|120.074|
| Individual 638       |37.7312|0.262839|45.4267|2.02144|-0.0428845|150.882|44.536|227.133|1.7586|-37.7741|5.80897|
| Individual 639       |48.5569|0.106183|31.7089|2.01725|2.82326|197.051|0.0151649|158.544|1.91107|-45.7336|92.3688|
| Individual 640       |60.6997|0.100054|26.7949|1.95376|45.614|288.413|26.6497|133.975|1.85371|-15.0857|198.76|
| Individual 641       |53.8233|0.0886743|32.843|1.99691|4.99894|220.292|1.98997|164.215|1.90824|-48.8243|112.222|
| Individual 642       |46.1282|0.091214|45.8039|1.93032|-49.8153|134.697|5.08294|229.019|1.83911|-95.9435|-11.9097|
| Individual 643       |34.2463|0.161332|27.5127|1.9651|5.8799|142.865|183.227|137.563|1.80377|-28.3664|51.3081|
| Individual 644       |50.2148|0.166339|38.5331|1.85536|5.08373|205.943|5.98509|192.666|1.68902|-45.1311|81.8985|
| Individual 645       |54.9827|0.20532|44.775|1.68839|7.784|227.715|133.248|223.875|1.48307|-47.1987|85.9742|
| Individual 646       |44.9964|0.0178433|39.9906|2.05636|7.28436|187.27|1.97481|199.953|2.03852|-37.712|57.1057|
